Feature,Score
Out,1.0
StrikeSwinging,0.9838598297176413
StrikeCalled,0.9624325939587451
Foul,0.9620595959451087
BallCalled,0.911003422335306
HitByPitch,0.6825962519790653
Single,0.6822499777553311
Error,0.5950142386848851
Double,0.439468924717411
Triple,0.19888415350312452
HomeRun,-0.0
