PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,calledLoc,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance
1,3/20/22,12:05:06 PM,1,1,Sam Gress,,Right,Nc state,Sarah Coon,,Right,Virginia,,1,Top,0,0,0,Dropball,2,InPlay,,GroundBall,Out,1,0,,58.69758311,4.032508073,-3.072215436,,,,2.025075204,2.148711721,6,,,,1.660917678,0.238892938,54.37020686,-5.571952133,-3.072215436,,77.93434159,-0.847198357,-43.33688961,,,,,31.40208844,,-41.71465899,0.279535984,,,,,,,,,,,,NC State,Virginia,,Softball,,3cc22ac4-139f-430a-9927-24c17f2e5dcd,830c9563-a867-11ec-9c52-091f269f1dc3,58.7801716,2.021001636,2.148711721,4.105135839,-3.072215436,54.42468234,1.66443884,0.238892938,-5.495168927,-3.072215436,0.431213308,,,,,,,,,,,-53.47946179,56.67786966,-1.152326415,-0.009063631,0.989609649,1.647977539,-20.89562035,23.44065291,,,,,,,,,,0,,46.00600621,low,high,,,37
2,3/20/22,12:05:39 PM,2,1,Sam Gress,,Right,Nc state,Lauren Vanassche,,Left,Virginia,,1,Top,1,0,0,Fastball,2,InPlay,,GroundBall,Single,0,0,,63.88072691,2.946442601,-2.833813404,,,,1.698477942,1.810311131,6,,,,1.110521942,0.048945263,59.19998555,-5.145645107,-2.833813404,,58.23625054,-0.273926925,-8.549202048,,,,,22.79695178,,-8.122410964,0.254441717,,,,,,,,,,,,NC State,Virginia,,Softball,,3cc22ac4-139f-430a-9927-24c17f2e5dcd,969e6e5e-a867-11ec-8ad3-bf4b37894eb3,63.9679196,1.694979741,1.810311131,3.007998841,-2.833813404,59.26110955,1.113505932,0.048945263,-5.080957698,-2.833813404,0.395676929,,,,,,,,,,,-8.65722413,57.58850431,-0.278422188,-0.06131014,1.578989157,1.127356485,-3.220946302,22.56826345,,,,,,,,,,0,,31.04290121,low,high,,,37
3,3/20/22,12:06:10 PM,3,1,Sam Gress,,Right,Nc state,Tori Gilbert,,Right,Virginia,,1,Top,1,0,0,Changeup,2,BallCalled,,,,0,0,,44.4925147,10.86800439,-3.645828582,,,,1.724072065,1.369107112,6,,,,3.398340606,-0.898182236,40.61787913,-6.27751043,-3.645828582,,,,,,,,,,,,,,,,,,,,,,,,NC State,Virginia,,Softball,,3cc22ac4-139f-430a-9927-24c17f2e5dcd,a9692663-a867-11ec-97f6-85997df31d5c,44.57922706,1.716610147,1.369107112,10.99472457,-3.645828582,40.6554974,3.404681487,-0.898182236,-6.139534715,-3.645828582,0.578220745,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,low,high,,,37
4,3/20/22,12:06:31 PM,3,2,Sam Gress,,Right,Nc state,Tori Gilbert,,Right,Virginia,,1,Top,1,1,0,Fastball,1,InPlay,,,HomeRun,0,2,,63.8975567,4.067489369,-2.807372641,,,,1.763565762,2.234750255,6,,,,1.870667272,0.489845186,59.05349997,-4.043073502,-2.807372641,,74.23484426,25.44414682,-2.231375742,,,,,206.9649521,,-2.385386673,2.685055761,,,,,,,,,,,,NC State,Virginia,,Softball,,3cc22ac4-139f-430a-9927-24c17f2e5dcd,b6272b59-a867-11ec-bf03-e51d6010c993,63.98700853,1.760152205,2.234750255,4.128552863,-2.807372641,59.1170009,1.873624421,0.489845186,-3.977926554,-2.807372641,0.396037519,,,,,,,,,,,-2.609985029,66.98357126,31.89359279,-0.525412458,0.838234088,1.806316884,-8.614052143,206.7856125,,,,,,,,,,0,,42.99656398,low,high,,,37
5,3/20/22,12:07:23 PM,4,1,Sam Gress,,Right,Nc state,Gabby Baylog,,Right,Virginia,,1,Top,1,0,0,Dropball,1,StrikeCalled,,,,0,0,,59.56792511,4.696323855,-2.572282019,,,,1.973958416,2.318095987,6,,,,2.104768108,0.719515548,55.05029858,-4.644474111,-2.572282019,,,,,,,,,,,,,,,,,,,,,,,,NC State,Virginia,,Softball,,3cc22ac4-139f-430a-9927-24c17f2e5dcd,d4681a0a-a867-11ec-bc3d-1dee778238c2,59.6534545,1.970002756,2.318095987,4.76674189,-2.572282019,55.10769547,2.108181152,0.719515548,-4.569659095,-2.572282019,0.425095909,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,low,high,,,37
6,3/20/22,12:07:43 PM,4,2,Sam Gress,,Right,Nc state,Gabby Baylog,,Right,Virginia,,1,Top,1,0,1,Fastball,3,BallCalled,,,,0,0,,65.45922631,6.992900681,-1.933701442,,,,1.774640531,1.71706601,6,,,,3.810135641,0.515691671,60.05188138,-0.784282141,-1.933701442,,,,,,,,,,,,,,,,,,,,,,,,NC State,Virginia,,Softball,,3cc22ac4-139f-430a-9927-24c17f2e5dcd,e07b4a87-a867-11ec-b6d4-098ea9ab4ae4,65.55951644,1.771222261,1.71706601,7.051731139,-1.933701442,60.12317224,3.812980367,0.515691671,-0.721664019,-1.933701442,0.388261819,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,low,high,,,37
7,3/20/22,12:08:04 PM,4,3,Sam Gress,,Right,Nc state,Gabby Baylog,,Right,Virginia,,1,Top,1,1,1,Changeup,2,StrikeCalled,,,,0,0,,44.95274929,10.03771106,-2.884747386,,,,1.509093474,1.509672003,6,,,,2.784728113,-0.283405137,41.18442179,-6.672923966,-2.884747386,,,,,,,,,,,,,,,,,,,,,,,,NC State,Virginia,,Softball,,3cc22ac4-139f-430a-9927-24c17f2e5dcd,ece1d499-a867-11ec-843c-d9a5c3a50597,45.03698915,1.50177401,1.509672003,10.16209348,-2.884747386,41.22114261,2.790883201,-0.283405137,-6.539272022,-2.884747386,0.57031419,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,low,high,,,37
8,3/20/22,12:08:25 PM,4,4,Sam Gress,,Right,Nc state,Gabby Baylog,,Right,Virginia,,1,Top,1,1,2,Dropball,1,InPlay,,LineDrive,Single,0,0,,59.55194269,4.98027128,-2.470056689,,,,1.878785935,2.295824829,6,,,,2.18352312,0.760854157,54.99155542,-4.373057437,-2.470056689,,49.68314899,4.304397965,-4.006707075,267.379059,,,,40.13756929,,-5.476076482,0.57189006,,,,,,,,,,,,NC State,Virginia,,Softball,,3cc22ac4-139f-430a-9927-24c17f2e5dcd,f9cdb173-a867-11ec-a792-a30937a6e596,59.6378538,1.874857268,2.295824829,5.050399402,-2.470056689,55.0497981,2.18695739,0.760854157,-4.297732688,-2.470056689,0.425356008,,,,,,,,,,,-3.46173116,49.4219223,3.728982138,-0.712643398,0.380948519,2.092041258,-3.830333147,39.9543867,-0.358771609,0.134282022,-0.017123722,0.093326279,0.234152522,0.967710082,,,,0,0.91144684,25.53537514,low,high,,,37
9,3/20/22,12:09:04 PM,5,1,Sam Gress,,Right,Nc state,Abby Weaver,,Right,Virginia,,1,Top,1,0,0,Dropball,2,BallCalled,,,,0,0,,59.58875843,3.688736358,-2.665681506,,,,2.066306687,1.890389213,6,,,,1.5765643,0.233681988,55.22489268,-5.618618082,-2.665681506,,62.50684943,36.99388528,-18.11394037,,-34.01301768,104.6093429,40.58561295,185.2555455,,-18.05316308,3.163210903,,,,,,,,,,,,NC State,Virginia,,Softball,,3cc22ac4-139f-430a-9927-24c17f2e5dcd,11be7c82-a868-11ec-add6-1fb7ba9c9706,59.67227485,2.062249517,1.890389213,3.759751719,-2.665681506,55.27988251,1.579954552,0.233681988,-5.544701461,-2.665681506,0.424431676,,,,,,,,,,,-15.52181871,47.44996607,37.61223324,-0.284545068,1.643735979,1.64333971,-57.41056736,176.1353,,,,,,,,,,0,,34.06465334,low,high,,,37
10,3/20/22,12:10:13 PM,6,1,Sam Gress,,Right,Nc state,Abby Weaver,,Right,Virginia,,1,Top,1,1,0,Dropball,2,BallCalled,,,,0,0,,59.50564007,4.378787704,-5.830490333,,,,1.910174275,2.167126086,6,,,,1.826724234,-1.466429421,55.02950985,-5.014039792,-5.830490333,,,,,,,,,,,,,,,,,,,,,,,,NC State,Virginia,,Softball,,3cc22ac4-139f-430a-9927-24c17f2e5dcd,3a134302-a868-11ec-8672-cf6edf7f78a3,59.59147357,1.906064417,2.167126086,4.450429141,-5.830490333,55.08621512,1.830166659,-1.466429421,-4.938910946,-5.830490333,0.427198628,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,low,high,,,37
