PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,calledLoc,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance
1,5/8/22,12:02:27,1,1,Maddie Mcpherson,NA,Left,Nc state,Kaley Mudge,NA,NA,Florida state,NA,1,Top,0,0,0,Dropball,NA,StrikeCalled,NA,NA,NA,0,0,NA,68.94130506,5.558124028,0.930878371,NA,NA,NA,1.377502003,0.33976346,6,NA,NA,NA,2.75178885,0.917932923,63.43946561,-1.42580784,0.930878371,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NC State,Florida State,NA,Softball,NA,15d1ebcb-9187-4baf-b702-d7655433bbe3,42536654-cee8-11ec-817c-f322cf73d6bb,69.04097515,1.374550689,0.33976346,5.61051194,0.930878371,63.51341392,2.754350574,0.917932923,-1.369382477,0.930878371,0.36746583,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,low,high,NA,NA,37
2,5/8/22,12:03:12,1,2,Maddie Mcpherson,NA,Left,Nc state,Kaley Mudge,NA,NA,Florida state,NA,1,Top,0,0,1,Riseball,NA,Foul,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NC State,Florida State,NA,Softball,NA,15d1ebcb-9187-4baf-b702-d7655433bbe3,a6ee0fac-27de-49eb-9076-f45272d4a8ae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,5/8/22,12:03:17,1,3,Maddie Mcpherson,NA,Left,Nc state,Kaley Mudge,NA,NA,Florida state,NA,1,Top,0,0,2,Riseball,NA,BallCalled,NA,NA,NA,0,0,NA,65.65774095,7.403016993,-2.696985163,1918.252114,218.8951774,01:15:00,1.190756633,0.984473064,6,-22.77866736,6.426779402,3.517090556,3.921034409,-0.398626928,59.74903325,1.06652438,-1.712510751,0.388958664,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-5.109622189,4.735356243,-1.631836673,50,-0.726798597,5.141239789,-98.08852086,16.13104698,-4.820676927,20.08424667,-27.70647415,NC State,Florida State,NA,Softball,NA,15d1ebcb-9187-4baf-b702-d7655433bbe3,605769a1-cee8-11ec-af5e-816e1bce0dd8,65.778198,1.188670424,0.982906332,7.438493329,-2.668961767,59.84112847,3.922978021,-0.397580164,1.109767661,-1.689928318,0.388852549,3.339147976,5.242341384,63.54017586,56.43628714,854.715912,1717.309489,44.55701657,-0.346785478,0.89524702,-0.279772416,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.981118765,0,NA,NA,medium,high,39.20734157,-85.06611916,37
4,5/8/22,12:03:41,1,4,Maddie Mcpherson,NA,Left,Nc state,Kaley Mudge,NA,NA,Florida state,NA,1,Top,0,1,2,NA,NA,Foul,NA,NA,NA,0,0,NA,70.87348185,5.417191865,0.851687897,NA,NA,NA,1.355314321,0.415750331,6,NA,NA,NA,2.754708807,0.94472693,65.22757598,-1.187736569,0.851687897,NA,60.17285427,39.24777751,-80.78484696,NA,-108.6675742,17.06922164,43.62914033,180.2243649,NA,-80.96076299,3.259406361,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NC State,Florida State,NA,Softball,NA,15d1ebcb-9187-4baf-b702-d7655433bbe3,6e7e6f80-cee8-11ec-b4d2-a7f534a35099,70.97581201,1.352461876,0.415750331,5.467035408,0.851687897,65.30365764,2.757119766,0.94472693,-1.134571328,0.851687897,0.357352748,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-45.99748469,7.462451507,38.069878,-1.219233481,-0.093659382,2.851639472,-177.9861549,28.31519631,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,22.05442224,low,high,NA,NA,37
5,5/8/22,12:04:29,1,5,Maddie Mcpherson,NA,Left,Nc state,Kaley Mudge,NA,NA,Florida state,NA,1,Top,0,1,2,Riseball,NA,BallCalled,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NC State,Florida State,NA,Softball,NA,15d1ebcb-9187-4baf-b702-d7655433bbe3,6bbbd70b-686c-402d-ab69-54f8d17caf4c,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,5/8/22,12:04:37,1,6,Maddie Mcpherson,NA,Left,Nc state,Kaley Mudge,NA,NA,Florida state,NA,1,Top,0,2,2,Riseball,NA,Foul,NA,NA,NA,0,0,NA,63.40834553,6.992056031,-2.448904939,1915.193213,213.1392896,01:00:00,1.070161485,0.856302823,6,-22.22573895,9.129921909,4.44943382,3.586081816,-0.294721227,57.53579351,0.790577736,-1.200498643,0.403022694,51.53245229,40.93312942,78.7949759,1767.093364,109.5239584,10.22264753,26.85098225,139.4743101,NA,85.6479447,3.029737727,-6.143378167,7.932896805,-1.456335918,50,-0.745731421,4.694325773,-94.93359196,14.82187371,-5.400036001,19.51180456,-25.20102478,NC State,Florida State,NA,Softball,NA,15d1ebcb-9187-4baf-b702-d7655433bbe3,8fb2ace6-cee8-11ec-908a-619ab32e6d02,63.53559893,1.068768768,0.855691035,7.015910486,-2.437664575,57.63702576,3.587643281,-0.294357806,0.825355023,-1.192819409,0.402900529,4.377214382,7.829703825,51.40525581,35.38121756,1194.712653,1496.872313,62.3807898,-0.522341825,0.781577703,-0.341020983,38.18936008,7.565176988,33.76291624,0.391527993,2.945942462,3.684633363,139.07215,10.58396264,-0.846608006,-19.83631557,0.068051839,0.879831556,-0.092181854,-0.46626059,NA,NA,0.551277213,0,0.995000175,17.80452998,medium,high,121.8430958,5.545222427,37
7,5/8/22,12:05:10,1,7,Maddie Mcpherson,NA,Left,Nc state,Kaley Mudge,NA,NA,Florida state,NA,1,Top,0,2,2,Changeup,NA,BallCalled,NA,NA,NA,0,0,NA,56.68053983,4.153975516,2.543318232,NA,NA,NA,1.976958772,0.067400587,6,NA,NA,NA,1.481306172,1.647957276,52.54900772,-6.138853932,2.543318232,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NC State,Florida State,NA,Softball,NA,15d1ebcb-9187-4baf-b702-d7655433bbe3,a38a5251-cee8-11ec-9831-994ae0c0ae9d,56.76100037,1.972504028,0.067400587,4.232194598,2.543318232,52.59974853,1.48507473,1.647957276,-6.056950529,2.543318232,0.446416357,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,low,high,NA,NA,37
8,5/8/22,12:05:36,1,8,Maddie Mcpherson,NA,Left,Nc state,Kaley Mudge,NA,NA,Florida state,NA,1,Top,0,3,2,Dropball,NA,BallCalled,Walk,NA,NA,0,0,NA,70.75943524,6.036639808,1.448770596,1215.526468,329.9506033,05:00:00,1.187549961,0.669379885,6,-28.81571266,-3.909477679,2.703488659,2.55041071,1.79461608,64.83193196,-2.004242227,2.204888384,0.359191097,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.634534624,-6.752858435,-0.367569869,50,-0.475176479,-2.247155941,-106.0142532,15.84133503,-2.914044184,22.86729445,-39.64334897,NC State,Florida State,NA,Softball,NA,15d1ebcb-9187-4baf-b702-d7655433bbe3,b3261fab-cee8-11ec-8ea3-9fa42a3a88dd,70.84439274,1.182715996,0.668341906,6.121738147,1.467607858,64.88724862,2.554285286,1.795343994,-1.919207742,2.220626076,0.359134536,2.58420266,-5.179844442,53.00931605,22.54915156,731.3642297,970.8815361,60.16851538,0.520815068,0.798733357,-0.301291702,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.971894482,0,NA,NA,medium,high,69.7057636,42.48662377,37
9,5/8/22,12:06:12,2,1,Maddie Mcpherson,NA,Left,Nc state,Sydney Sherrill,NA,NA,Florida state,NA,1,Top,0,0,0,Riseball,NA,BallCalled,NA,NA,NA,0,0,NA,62.82806601,7.657071469,-3.499242416,1956.536399,215.9296977,01:15:00,1.05363274,0.977053993,6,-23.28133874,8.802646905,4.785072091,3.906367019,-0.80008762,56.92328105,1.178406291,-2.158813405,0.407676501,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.938399504,7.297048392,-1.81939382,50,-0.927995744,6.411864608,-93.82627029,15.91926727,-5.96026358,18.99871703,-25.90569739,NC State,Florida State,NA,Softball,NA,15d1ebcb-9187-4baf-b702-d7655433bbe3,c8560ee6-cee8-11ec-9c97-5bd0be98eef4,62.95519806,1.052002857,0.97634267,7.684564946,-3.486277106,57.0227997,3.908087198,-0.799671111,1.216808129,-2.149995091,0.407552504,4.701621423,7.464833196,52.25553987,12.96824037,1197.675795,1547.128751,61.21408197,-0.495673439,0.79074877,-0.359199422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.994703953,0,NA,NA,medium,high,101.6714163,11.2604159,37
10,5/8/22,12:06:35,2,2,Maddie Mcpherson,NA,Left,Nc state,Sydney Sherrill,NA,NA,Florida state,NA,1,Top,0,1,0,Riseball,NA,InPlay,NA,NA,HomeRun,0,2,NA,62.46518615,7.341249809,-1.451271943,1853.68579,217.3286841,01:15:00,1.155551699,1.018531021,6,-23.89993128,8.4023206,4.53660347,3.749732647,0.49508142,56.69072553,0.673310003,-0.177777043,0.409060855,70.32693304,47.04192553,33.09094198,2523.090951,70.51669674,84.42390346,83.61469957,205.3153121,NA,41.30592938,4.836370291,-5.854636594,6.967355415,-1.392837182,50,-0.756658929,3.005907261,-93.48899544,15.40633867,-4.995195433,18.81188162,-26.22947875,NC State,Florida State,NA,Softball,NA,15d1ebcb-9187-4baf-b702-d7655433bbe3,d6041f91-cee8-11ec-80ed-01a3e6efe382,62.59021392,1.153719477,1.017673498,7.37203863,-1.435845292,56.78676993,3.751552148,0.495592344,0.714281367,-0.166768681,0.408939114,4.43798385,7.042131085,54.87979826,9.983336352,1066.413717,1516.216605,57.52936782,-0.457456276,0.817946932,-0.348850357,26.16570051,40.15197751,51.46894529,-0.518323657,1.376632436,3.78544895,135.5244102,154.2320058,17.24154087,-29.47341453,0.634242958,0.986380084,0.083959454,-0.141439526,NA,NA,0.996324173,0,0.996067802,37.93348908,medium,high,98.98500272,17.30107758,37
