PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,calledLoc,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance,Catcher,CatcherId,CatcherTeam,yt_AeroModel
1,2/23/24,2:02:13 PM,1,1,Jaidyn Studebaker,studeja10,,Georgia tech,Brooklynn Maxwell,maxwebr10,Right,North carolina greensboro,,1,Top,0,0,0,Riseball,1,BallCalled,,,,,,,63.859407517618415,2.4528747363790147,0.12825466297189522,954.5325512695313,196.95288152725539,12:30,1.6886833805948172,0.2164925111674578,5.999999999999997,-24.29600868,5.899088851681668,1.2151796858298824,1.2272073456904917,0.1645927464945882,59.08951609093457,-4.697252434,0.13205062309457113,0.3955496364153245,,,,,,,,,,,,-1.467324342,5.946560891697132,-0.200350853,49.99999999999997,0.8877789209839343,-0.026024408,-96.08038074,7.675811718234946,-1.338081467,18.27945081596128,-26.75126561,Georgia Tech,North Carolina Greensboro,,,,c6a3fbf9-2170-486f-8f01-620fc43ec4d2,c4b36c88-b01f-4092-a917-77d9431b9a4c,63.96017443807178,1.6868939465578079,0.2186594470553456,2.484262176524626,0.088798514,59.170128624499256,1.2290733509881688,0.16289127713551663,-4.656240128,0.095282335,0.39544562114252557,1.4740680556913683,4.8872288403819555,-63.26307812,,429.4390331179208,-852.4755177,44.98945924335064,-0.430344365,-0.893081662,-0.13118259,,,,,,,,,,,,,,,,,1,0,,,high,high,,,37.00000137600001,Reese Hunter,huntere10,Georgia tech,2022-11
2,2/23/24,2:02:29 PM,1,2,Jaidyn Studebaker,studeja10,,Georgia tech,Brooklynn Maxwell,maxwebr10,Right,North carolina greensboro,,1,Top,0,1,0,Riseball,2,BallCalled,,,,,,,62.457821926532574,1.6664207888851272,2.2572509854481257,,,,1.7338984140782348,0.002099102,5.999999999999997,,,,0.3360667274786289,1.4440096542219947,59.43689379141395,-7.062642944,4.325143267,,,,,,,,,,,,,,,,,,,,,,,,Georgia Tech,North Carolina Greensboro,,,,c6a3fbf9-2170-486f-8f01-620fc43ec4d2,eb680085-dd7f-4c8c-b2c1-5b98283c15fa,62.53907642688447,1.730429982266842,0.002099102,1.728788775072871,2.257250985448144,59.49732446629205,0.3391416529520274,1.444009654221995,-6.996832012,4.325143267498377,0.40453744712022666,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,high,high,,,37.00000137600001,Reese Hunter,huntere10,Georgia tech,2022-11
3,2/23/24,2:02:47 PM,1,3,Jaidyn Studebaker,studeja10,,Georgia tech,Brooklynn Maxwell,maxwebr10,Right,North carolina greensboro,,1,Top,0,2,0,Dropball,1,StrikeCalled,,,,,,,64.67837791328063,3.5695740376670737,1.7884634201015523,1134.600599016462,347.66789926536933,5:30,1.7330876055039794,0.15247060530648668,5.999999999999997,-30.16789116,-1.449025723,0.36464054052612743,1.784723039652756,0.760415534,60.60859282961384,-4.923456239,1.5419559185326126,0.39123078,,,,,,,,,,,,0.1832340359713883,-3.058034465,0.24962463785283073,49.999999999999964,0.6107516330064352,-2.977994418,-97.180923,10.65370928652453,0.17081116952190142,18.808281301332425,-35.02475601,Georgia Tech,North Carolina Greensboro,,,,c6a3fbf9-2170-486f-8f01-620fc43ec4d2,7a5530be-e0a1-4907-8bae-270ce41ac933,64.75590670689049,1.7289565251958687,0.15530637567415806,3.6429187772886515,1.7371489747489886,60.662949882265515,1.788184357,0.7583197553039209,-4.848285516,1.4966104504794593,0.39115623764792845,0.6973571886768588,-2.685214514,-78.4137113,,227.8771370009597,-1111.481232,20.08434837761384,0.19620923487764919,-0.979623343,-0.042895701,,,,,,,,,,,,,,,,,1,0,,,high,high,,,37.00000137600001,Reese Hunter,huntere10,Georgia tech,2022-11
4,2/23/24,2:03:02 PM,1,4,Jaidyn Studebaker,studeja10,,Georgia tech,Brooklynn Maxwell,maxwebr10,Right,North carolina greensboro,,1,Top,0,2,1,Dropball,1,BallCalled,,,,,,,64.08629791886337,2.2441132751668262,2.3956013524876236,960.7373413085936,13.204887714420693,6:30,1.7525615180615883,0.096643732,5.999999999999997,-33.3423646,-4.168951299,-1.676469573,0.4969745954623074,0.45707170050564994,60.39404962438136,-7.552333832,1.1048697188722634,0.39467430270289017,,,,,,,,,,,,2.7287601256151888,-5.897737231,0.4632786118585427,49.999999999999986,0.8985284481194147,-4.267462176,-96.38814749,8.816442875217628,2.499703636744012,18.650063693788503,-37.57672132,Georgia Tech,North Carolina Greensboro,,,,c6a3fbf9-2170-486f-8f01-620fc43ec4d2,25405aea-aafc-4579-85c4-16e2ad3c82ce,64.14398668302829,1.747512716369323,0.098547773,2.336317470661996,2.3603886205697693,60.42803801582234,0.5011556303795426,0.45565651393954903,-7.462572459,1.0742214156090646,0.3946181772593843,-1.448105617,-5.557855699,-61.05338704,,464.99153983567635,-840.7134511,48.39944486828463,0.47119735448606165,-0.875071068,0.11056075018354894,,,,,,,,,,,,,,,,,1,0,,,high,high,,,37.00000137600001,Reese Hunter,huntere10,Georgia tech,2022-11
5,2/23/24,2:03:21 PM,1,5,Jaidyn Studebaker,studeja10,,Georgia tech,Brooklynn Maxwell,maxwebr10,Right,North carolina greensboro,,1,Top,0,3,1,Fastball,1,BallCalled,Walk,,Walk,0,0,,64.85890772200287,6.433325532273712,0.3076219256512195,1202.7364566200658,3.5195320536712043,6:00,1.705496282523908,0.12844239965696233,5.923130327353583,-31.05378688,-1.989571764,0.1907368557916015,3.3348308955793664,0.2190355087350403,60.22075951947582,-2.541327148,1.226954331938687,0.39240980463911934,,,,,,,,,,,,-0.216155697,-4.405833892,-0.061797223,50.00000000000001,-0.0627627,-0.480381725,-97.03678147,15.552728273059799,-0.20111359,18.60873747341445,-36.27328492,Georgia Tech,North Carolina Greensboro,,,,c6a3fbf9-2170-486f-8f01-620fc43ec4d2,7ff9295f-145c-4f38-b346-8222eb3340b8,64.94226270480924,1.7012373432615568,0.1313196999737926,6.508830544573838,0.2551656176407606,60.277374069896695,3.3384886515789516,0.21689745767833427,-2.461355782,1.1806200802344362,0.3923349742953758,0.5355108132657249,-3.252375586,-76.11946064,,288.53444452950157,-1167.614174,23.989831100683688,0.23944584577394562,-0.970798022,0.014727069142667346,,,,,,,,,,,,,,,,,1,1,,,high,high,,,37.07687104864642,Reese Hunter,huntere10,Georgia tech,2022-11
6,2/23/24,2:03:52 PM,2,1,Jaidyn Studebaker,studeja10,,Georgia tech,Jessie Shipley,shiplje10,Right,North carolina greensboro,,1,Top,0,0,0,Riseball,1,StrikeCalled,,,,,,,64.51941888935278,4.9653065901398525,-1.67967011,1162.8721923828125,182.55581739505558,12:00,1.7313888333846892,0.2604835816888245,5.999999999999997,-26.76235856,3.547359838199032,0.2987365360943998,2.654141454711353,0.7690673630031706,58.87643057541453,-2.917804621,2.2227714743600284,0.3929182039063045,,,,,,,,,,,,-1.102640345,3.2288623583959875,-0.646062289,49.99999999999999,0.3461088314205406,2.902018461385136,-96.77650302,12.163627092408875,-1.019087561,18.68679491480133,-29.18985489,Georgia Tech,North Carolina Greensboro,,,,c6a3fbf9-2170-486f-8f01-620fc43ec4d2,4a668678-a3e1-47b3-9516-45c5bde74e21,64.62245785823187,1.7292053773748015,0.2628047685155764,5.003905386124344,-1.722222116,58.953465671670976,2.656605848221522,0.7671379282749397,-2.86393979,2.181290043391336,0.3928180075390331,0.6000369899147072,2.4238758709039963,-76.56887952,,270.1075636739554,-1131.067478,23.22762255759893,-0.23204517,-0.972649863,-0.010357809,,,,,,,,,,,,,,,,,1,0,,,high,high,,,37.00000137600001,Reese Hunter,huntere10,Georgia tech,2022-11
7,2/23/24,2:04:10 PM,2,3,Jaidyn Studebaker,studeja10,,Georgia tech,Jessie Shipley,shiplje10,Right,North carolina greensboro,,1,Top,0,0,2,Riseball,1,Foul,,,,,,,63.58592907137632,7.014400605389093,-2.194722766,1200.6906513414885,178.49726427177396,12:00,1.2310314252437717,0.4378651586783171,1.5119658054858962,-29.74828346,9.927192606704033,0.5844597306353357,3.392345906860158,0.3376531183266118,56.30223317,-1.612159415,1.9228158935578836,0.46333172120309735,74.19603171,24.83252286614086,-49.40653738,1624.0096178556744,-89.63457432,63.762395485795935,30.725566778415935,203.96545146964658,,-59.95405965,2.6137838550077666,0.27989916807854337,6.145339964751491,1.2400633335479598,50.00000000000003,0.49631046876033785,-2.89964057,-92.07834802,12.729594778557894,0.23362003,17.21363597139176,-27.04479351,Georgia Tech,North Carolina Greensboro,,,,c6a3fbf9-2170-486f-8f01-620fc43ec4d2,c25da9b0-d014-4e00-a3d3-384bcb64440b,63.74378031140093,1.229039354096085,0.441354717,7.040007018807166,-2.243918223,56.41699681316668,3.3950031009439057,0.3351464250775551,-1.559403178,1.8745496573653795,0.4631641527709031,0.9268327467565957,8.440880045890855,-60.50746013,,591.1122835,-1045.104927,49.231022401676185,-0.492140906,-0.870419809,0.012910677780894901,-51.13114809,43.814575392855666,31.159906928986658,-0.843188206,3.6787664980537236,3.7797217965037615,-176.5574349,102.12432414066207,-18.10308646,-35.70854679,-0.071197503,0.2903638329734052,-0.278257956,0.9155661387245287,,,1,1,1,41.166267757561236,high,high,,,41.48803557051411,Reese Hunter,huntere10,Georgia tech,2022-11
8,2/23/24,2:04:34 PM,2,3,Jaidyn Studebaker,studeja10,,Georgia tech,Jessie Shipley,shiplje10,Right,North carolina greensboro,,1,Top,0,0,2,Changeup,,StrikeSwinging,Strikeout,,StrikeoutSwinging,1,0,,50.89136348565998,8.181451222451283,0.30543480072453905,1053.8097147127478,76.96693117,8:30,1.7017200817803846,-0.003036266,5.420971323978075,-49.67277706,0.5287361375715349,-6.905690957,2.8419823386761713,-0.167552669,46.637550255731135,-6.01430431,-0.592374258,0.5095863993402108,,,,,,,,,,,,8.097659117944623,-2.556731864,0.13163811079887572,49.999999999999936,-0.524625973,-1.155669349,-75.77952528,16.203101015182515,4.5895796313938995,11.443857240958005,-33.62315041,Georgia Tech,North Carolina Greensboro,,,,c6a3fbf9-2170-486f-8f01-620fc43ec4d2,56f590b6-6aa5-4fb5-873c-5eeace001d71,50.96498877866569,1.6957040618191899,-0.009860032,8.281373987763233,0.423428383,46.67284933083406,2.847051770016692,-0.162503745,-5.906940602,-0.48558887,0.5094883621700703,-7.682125757,-1.454155328,58.22122261302271,,554.9793467086988,895.8308096676228,52.66409475642171,0.1187645823770901,0.8500878262560072,0.5130747134912534,,,,,,,,,,,,,,,,,1,1,,,high,high,,,37.57903005202193,Reese Hunter,huntere10,Georgia tech,2022-11
9,2/23/24,2:04:55 PM,3,1,Jaidyn Studebaker,studeja10,,Georgia tech,Grace Loftin,loftigr10,Right,North carolina greensboro,,1,Top,1,0,0,Riseball,1,InPlay,,FlyBall,Out,1,0,,61.827269274990115,2.585885248026082,0.44002574636576225,1157.3781814575198,181.10018532932443,12:00,1.8003710840281157,0.10764577391872629,5.999999999999997,-22.01474227,10.134041548614984,0.072334804,1.6827869767216637,0.1048998700313469,57.19892633350474,-3.773832017,0.13635059751338513,0.4086080264052073,61.580184987760084,52.37218789967651,14.870487600342516,,27.728650378717514,106.4477428044752,63.65397190175361,173.15649533822594,,14.699006183826214,4.026131474466076,0.018761222,10.877545649267951,-0.008963951,50.00000000000003,0.9915852203587583,-0.697967713,-93.01155218,7.331131523631044,0.016032696,17.134870912732566,-22.87847277,Georgia Tech,North Carolina Greensboro,,,,c6a3fbf9-2170-486f-8f01-620fc43ec4d2,3d7d0ee9-f2d0-4c6b-baa6-c2311ccdc7de,61.93529894027349,1.7996584798927577,0.10899832666388345,2.598047188346898,0.41467425381291856,57.289189451128436,1.683843001200285,0.10381807970940471,-3.749997235,0.11291957532873063,0.4084887627268055,0.2419168877929935,9.183769972881027,-42.85530546,,848.4434816248221,-787.189884,73.30736791291095,-0.732938537,-0.680149234,-0.01407551,9.648585248409498,36.33736253583426,48.77109871399533,-0.26235047,1.6345629428905957,1.8044926729243551,43.93693118949577,167.48945625162966,,,,,,,,,1,0,,31.356328567732145,high,high,,,37.00000137600001,Reese Hunter,huntere10,Georgia tech,2022-11
10,2/23/24,2:05:23 PM,4,1,Jaidyn Studebaker,studeja10,,Georgia tech,Jorde Chartrand,chartjo10,Left,North carolina greensboro,,1,Top,2,0,0,Dropball,1,StrikeCalled,,,,,,,66.37315352393169,3.6679754290008004,2.3019023951834567,833.8796648,28.42394575560125,7:00,1.5928640392139397,0.04707076,3.1047818918563244,-40.29665467,-8.737228665,-5.447005634,1.4993013476808585,0.6491819683421133,62.385171704771764,-5.691858921,0.8269148508200844,0.41380347948813295,,,,,,,,,,,,6.393169873725811,-10.14642253,0.38775608346906687,50.000000000000036,0.728414995,-4.539669633,-99.10199823,10.554433894932766,6.190335065732955,19.729164047309514,-41.99855862,Georgia Tech,North Carolina Greensboro,,,,c6a3fbf9-2170-486f-8f01-620fc43ec4d2,b48296e7-45c6-4f5a-b210-a4ff5d374730,66.42591191530947,1.5838962037804176,0.045362652,3.800363360587533,2.3272876759661814,62.40753517082301,1.505243878391414,0.6503076674897693,-5.572757229,0.8496382177263775,0.4137609930957966,-5.615575918,-10.45345168,-8.100129917,,825.5603293028895,-117.496545,99.00233380452951,0.8706757448046261,-0.140903478,0.4712429917603638,,,,,,,,,,,,,,,,,1,1,,,high,high,,,39.89521948414368,Reese Hunter,huntere10,Georgia tech,2022-11
