PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,calledLoc,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance
11,3/30/22,5:06:41 PM,1,3,Lindsey Walljasper,,Right,Charlotte,Kaylee Lambrecht,,Right,Nc state,,1,Bottom,0,1,1,Fastball,2,StrikeCalled,,,Out,1,0,,70.69737187,4.838859773,-1.152087335,,,,1.428790456,0.027006121,6,,,,2.459878396,-0.688589929,65.14414855,-1.791318022,-1.152087335,,,,,,,,,,,,,,,,,,,,,,,,NC State,Charlotte,,Softball,,48104408-e7e1-4177-ad15-75d1ca598c44,4cef748c-b06d-11ec-b326-7b08dfb5e9ca,70.79842186,1.425916024,0.027006121,4.889128067,-1.152087335,65.21857205,2.46228141,-0.688589929,-1.73826968,-1.152087335,0.357947133,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,low,high,,,37
12,3/30/22,5:08:43 PM,1,4,Lindsey Walljasper,,Right,Charlotte,Kaylee Lambrecht,,Right,Nc state,,1,Bottom,1,0,1,,,StrikeCalled,,,,1,0,,65.06783276,5.151190358,-2.266325917,,,,1.432877825,2.269329164,6,,,,2.298413071,0.861101276,59.96172506,-2.687186057,-2.266325917,,,,,,,,,,,,,,,,,,,,,,,,NC State,Charlotte,,Softball,,48104408-e7e1-4177-ad15-75d1ca598c44,9589f5de-b06d-11ec-8fba-4124ae84f7d3,65.16225764,1.42947224,2.269329164,5.210446453,-2.266325917,60.02900386,2.301278011,0.861101276,-2.624179968,-2.266325917,0.389336667,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,low,high,,,37
13,3/30/22,5:09:00 PM,1,5,Lindsey Walljasper,,Right,Charlotte,Kaylee Lambrecht,,Right,Nc state,,1,Bottom,2,0,2,,,Foul,,,,0,0,,65.45985102,6.279345144,-2.275419691,,,,1.29243269,2.293188878,6,,,,2.884949943,0.879304454,60.15504104,-1.486774417,-2.275419691,,78.16780866,13.35804116,-45.91773067,1420.295836,,,,152.5252741,,-51.5027931,1.646274384,,,,,,,,,,,,NC State,Charlotte,,Softball,,48104408-e7e1-4177-ad15-75d1ca598c44,9f68c330-b06d-11ec-b0ba-c9cb5c00063f,65.55764535,1.289068878,2.293188878,6.337830393,-2.275419691,60.22526566,2.88780691,0.879304454,-1.424059068,-2.275419691,0.387779532,,,,,,,,,,,-54.63203841,52.90935521,18.05953549,-0.843979402,1.935598936,2.864865145,-119.3721522,94.94339645,-7.431781963,-14.6721225,-0.022970651,0.074692407,-0.07136728,0.994649564,,,,0,0.994806506,44.16597016,low,high,,,37
14,3/30/22,5:09:34 PM,1,6,Lindsey Walljasper,,Right,Charlotte,Kaylee Lambrecht,,Right,Nc state,,1,Bottom,2,0,2,,,StrikeSwinging,Strikeout,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC State,Charlotte,,Softball,,48104408-e7e1-4177-ad15-75d1ca598c44,54c5dcf6-10a5-4539-afa1-fcc9493b5207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,3/30/22,5:09:52 PM,1,1,Lindsey Walljasper,,Right,Charlotte,Logan Morris,,Right,Nc state,,1,Bottom,1,0,0,,,StrikeCalled,,,,0,0,,64.35176738,5.553383941,-4.715270892,1362.156379,102.2011466,9:30,1.288842066,2.480320369,6,-26.95783813,3.345605941,-4.148801971,2.513854277,-0.800443917,58.97963345,-1.954277285,-5.868067401,0.396202779,,,,,,,,,,,,3.099567205,1.842686387,-3.511307418,50,-0.247763624,7.336325559,-96.25573871,13.30989229,2.818217392,19.23645808,-30.49862509,NC State,Charlotte,,Softball,,48104408-e7e1-4177-ad15-75d1ca598c44,be4c2419-b06d-11ec-bfe8-078b57b59e54,64.45078864,1.285535182,2.48142264,5.610751126,-4.73522532,59.05163998,2.516698316,-0.801173906,-1.891661161,-5.883613452,0.396117239,-4.021061537,2.019626411,-68.7684634,21.81144794,493.2881409,-1269.699497,36.21376725,-0.076535753,-0.932124619,0.353957585,,,,,,,,,,,,,,,,,0.94786724,0,,,medium,high,70.36969686,45.20588167,37
16,3/30/22,5:10:07 PM,1,2,Lindsey Walljasper,,Right,Charlotte,Logan Morris,,Right,Nc state,,1,Bottom,1,0,1,,,BallCalled,,,,0,0,,64.08681748,6.644204997,-6.365509522,1497.017798,95.71573068,9:15,1.290798029,2.680944974,6,-27.45259926,3.447861852,-4.571139527,3.173749643,-1.669605447,58.54316377,-0.976105446,-7.628635368,0.400086597,,,,,,,,,,,,2.930768398,1.497384111,-4.085800618,50,-0.505594635,9.990180615,-95.44417977,15.13512674,2.613591124,19.23611734,-30.83871725,NC State,Charlotte,,Softball,,48104408-e7e1-4177-ad15-75d1ca598c44,c74afe73-b06d-11ec-9d1b-db4e3d7fb957,64.18859221,1.287318539,2.682151826,6.703589768,-6.387105939,58.61672157,3.17672637,-1.67039567,-0.911223301,-7.645199927,0.39999895,-4.432146025,2.045503856,-68.1676061,42.69683448,556.7300116,-1389.645272,37.18927137,-0.037037889,-0.928275718,0.370043761,,,,,,,,,,,,,,,,,0.983394376,0,,,medium,high,51.57284897,38.3877688,37
17,3/30/22,5:10:23 PM,1,3,Lindsey Walljasper,,Right,Charlotte,Logan Morris,,Right,Nc state,,1,Bottom,1,1,1,,,Foul,,,,0,0,,65.04743012,5.78383719,-2.801972762,,,,1.162593309,2.74013844,6,,,,2.417793151,0.998594994,59.84891671,-2.075780093,-2.801972762,,71.9272022,42.80925651,-42.37184441,,-73.73357466,81.62940627,63.91730345,229.0884823,,-42.23681417,3.971450768,,,,,,,,,,,,NC State,Charlotte,,Softball,,48104408-e7e1-4177-ad15-75d1ca598c44,d0d6bd33-b06d-11ec-9b98-675f4783cdd9,65.14288557,1.159278268,2.74013844,5.842766564,-2.801972762,59.91767419,2.420668548,0.998594994,-2.01229634,-2.801972762,0.390045401,,,,,,,,,,,-35.56192352,38.98373053,48.87883761,-1.079319742,2.077913591,2.49220029,-153.992462,169.6108911,,,,,,,,,,0,,38.35990369,low,high,,,37
18,3/30/22,5:10:48 PM,1,4,Lindsey Walljasper,,Right,Charlotte,Logan Morris,,Right,Nc state,,1,Bottom,1,1,2,,,BallCalled,,,,0,0,,65.805786,6.565612167,-5.512116774,,,,0.979552758,2.592388794,4.337329639,,,,2.737111463,-1.001943331,60.19774991,-1.549000637,-5.512116774,,,,,,,,,,,,,,,,,,,,,,,,NC State,Charlotte,,Softball,,48104408-e7e1-4177-ad15-75d1ca598c44,dfe4352b-b06d-11ec-a93a-ed9db6e27f1b,65.91391178,0.975762545,2.592388794,6.628909286,-5.512116774,60.27596699,2.740441886,-1.001943331,-1.479306514,-5.512116774,0.406325165,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,low,high,,,38.66267036
19,3/30/22,5:11:06 PM,1,5,Lindsey Walljasper,,Right,Charlotte,Logan Morris,,Right,Nc state,,1,Bottom,1,2,2,,,BallCalled,,,,0,0,,65.06817001,4.46855542,-4.445222916,1387.246485,109.3096084,9:45,1.212767553,1.816618866,6,-26.01182588,3.466718497,-3.184856479,1.834325953,-1.215027662,59.82466368,-2.779083432,-5.330634001,0.390772992,,,,,,,,,,,,2.102424933,2.418171905,-2.795478067,50,-0.065623482,7.108566507,-97.48477989,11.47906729,1.964861015,19.43942514,-29.91410126,NC State,Charlotte,,Softball,,48104408-e7e1-4177-ad15-75d1ca598c44,ea9abf99-b06d-11ec-911e-4738ef771c01,65.16696178,1.209648309,1.818178196,4.522247182,-4.473015088,59.89625699,1.836956041,-1.216079416,-2.721020875,-5.35324338,0.390688996,-3.007807174,2.228999669,-74.20501678,30.13037768,377.6029215,-1334.866601,27.21959837,-0.090007771,-0.962241834,0.256883738,,,,,,,,,,,,,,,,,0.973098597,0,,,medium,high,62.88266008,38.44999679,37
20,3/30/22,5:11:24 PM,1,6,Lindsey Walljasper,,Right,Charlotte,Logan Morris,,Right,Nc state,,1,Bottom,1,3,2,,,InPlay,,GroundBall,Out,1,0,,64.66883605,3.649402991,-4.809711732,1452.837101,81.24130173,8:45,1.510030365,2.554998447,6,-27.91916795,1.899564459,-3.752076779,1.460971144,-0.751764664,59.61445676,-4.12329408,-5.851456743,0.393021321,,,,,,,,,,,,2.6281073,0.884374284,-3.611451374,50,0.399612872,7.606457836,-96.93969368,10.29979732,2.428157759,19.25634425,-31.35695955,NC State,Charlotte,,Softball,,48104408-e7e1-4177-ad15-75d1ca598c44,f505a4e8-b06d-11ec-947e-bd60333ca90e,64.7557092,1.506265695,2.556665216,3.715125666,-4.839740508,59.67502258,1.464087119,-0.75290195,-4.054871554,-5.875810186,0.392947935,-3.560339897,0.581085908,-74.36019419,59.36015577,391.6687478,-1399.046544,26.95888945,0.041051226,-0.962975507,0.266445058,,,,,,,,,,,,,,,,,0.844627073,0,,,medium,high,36.57585981,20.88229911,37
