PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,calledLoc,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance
1,5/7/22,14:31:54,1,1,Aisha Weixlmann,NA,Right,Nc state,Kaley Mudge,NA,NA,Florida state,NA,1,Top,0,0,0,NA,NA,BallCalled,NA,NA,NA,0,0,NA,71.03199144,6.822709106,-0.94738076,1379.820172,70.17584862,08:15:00,1.007609834,1.710355513,6,-25.13715987,-0.371203303,-3.955237106,3.170788682,0.792331439,64.99363127,-0.178858812,-2.053526319,0.358178139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.280624685,-2.886254638,-1.885827772,50,-0.799031442,1.119947747,-106.2553514,16.76389458,4.761332111,22.79885792,-35.38442608,NC State,Florida State,NA,Softball,NA,40cc4d92-d9cb-4feb-8848-f4cf4b640aa2,f87f695e-ce33-11ec-a515-6d051ac041e9,71.12856981,1.003850736,1.711209305,6.889371709,-0.963125928,65.06298433,3.173922664,0.791764421,-0.109777429,-2.065707732,0.358111996,-3.854912452,-1.512482164,-65.57449785,1.413327069,570.5690551,-1256.325857,41.35097217,0.140235409,-0.910499703,0.389004267,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.992627557,0,NA,NA,medium,high,91.27199436,-9.955421327,37
2,5/7/22,14:32:11,1,2,Aisha Weixlmann,NA,Right,Nc state,Kaley Mudge,NA,NA,Florida state,NA,1,Top,0,1,0,NA,NA,StrikeCalled,NA,NA,NA,0,0,NA,71.05294491,5.299636185,-2.345465163,NA,NA,NA,1.25278742,1.553065997,6,NA,NA,NA,2.588851295,0.09560927,65.40462513,-1.275075944,-2.345465163,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NC State,Florida State,NA,Softball,NA,40cc4d92-d9cb-4feb-8848-f4cf4b640aa2,02b16dc0-ce34-11ec-b5bc-49b409739537,71.15582816,1.249907119,1.553065997,5.349520052,-2.345465163,65.48068738,2.591254645,0.09560927,-1.222220967,-2.345465163,0.356647773,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,low,high,NA,NA,37
3,5/7/22,14:32:27,1,3,Aisha Weixlmann,NA,Right,Nc state,Kaley Mudge,NA,NA,Florida state,NA,1,Top,0,1,1,NA,NA,InPlay,NA,NA,HomeRun,0,1,NA,70.19021585,6.256146619,-4.568290964,NA,NA,NA,1.554535114,1.994658179,6,NA,NA,NA,3.43490202,-0.848489456,64.47144412,-0.513294583,-4.568290964,NA,68.78152796,23.51440802,28.58586774,930.603531,55.11677755,95.19527736,30.09026944,205.2362937,NA,31.03274534,2.899279642,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NC State,Florida State,NA,Softball,NA,40cc4d92-d9cb-4feb-8848-f4cf4b640aa2,0d01e107-ce34-11ec-95a7-8708d31c500d,70.29399646,1.551619728,1.994658179,6.307085002,-4.568290964,64.54906778,3.437439122,-0.848489456,-0.458176879,-4.568290964,0.362534421,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.17738563,55.3817385,27.44243113,1.024922884,2.291630695,3.671522707,105.8050301,175.8613996,18.04543926,14.96619485,0.480121809,0.958477875,-0.047527266,-0.281178452,NA,NA,NA,0,0.997093173,35.97749255,low,high,NA,NA,37
4,5/7/22,14:33:11,2,1,Aisha Weixlmann,NA,Right,Nc state,Sydney Sherrill,NA,NA,Florida state,NA,1,Top,0,0,0,NA,NA,BallCalled,NA,NA,NA,0,0,NA,71.46834505,8.218790841,-1.708548347,1698.690279,69.11584217,08:15:00,1.088045643,1.441848778,6,-24.96732293,-0.329613145,-3.723541724,4.149270767,0.070151323,65.21171945,1.290059392,-2.74904249,0.35724955,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.737507047,-3.347079848,-1.792434125,50,-1.03981842,2.576338968,-106.5321192,19.42635806,4.178865095,22.91949649,-35.91638237,NC State,Florida State,NA,Softball,NA,40cc4d92-d9cb-4feb-8848-f4cf4b640aa2,2700af54-ce34-11ec-939a-5dcdef22f92d,71.56795624,1.084151882,1.443318719,8.286246023,-1.73530697,65.28326172,4.152454179,0.069145781,1.360066233,-2.770653035,0.357183551,-3.55364716,-1.471140165,-69.07451666,8.441304757,606.693108,-1586.654385,35.71534584,0.127317951,-0.93404572,0.333689575,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.556923773,0,NA,NA,medium,high,97.59717428,-9.928152676,37
5,5/7/22,14:33:27,2,2,Aisha Weixlmann,NA,Right,Nc state,Sydney Sherrill,NA,NA,Florida state,NA,1,Top,0,1,0,NA,NA,StrikeCalled,NA,NA,NA,0,0,NA,70.15543807,5.049596572,-1.561472708,NA,NA,NA,1.039396616,1.673530154,6,NA,NA,NA,2.170149489,0.703543114,64.61922518,-1.687802501,-1.561472708,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NC State,Florida State,NA,Softball,NA,40cc4d92-d9cb-4feb-8848-f4cf4b640aa2,308ce499-ce34-11ec-9937-e1d430051981,70.25634342,1.036459452,1.673530154,5.100659662,-1.561472708,64.69347119,2.172602846,0.703543114,-1.633747501,-1.561472708,0.360891315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,low,high,NA,NA,37
6,5/7/22,14:33:47,2,3,Aisha Weixlmann,NA,Right,Nc state,Sydney Sherrill,NA,NA,Florida state,NA,1,Top,0,1,1,NA,NA,StrikeCalled,NA,NA,NA,0,0,NA,69.21167696,5.264622826,-1.99572434,NA,NA,NA,1.06310193,1.481758548,6,NA,NA,NA,2.271186768,0.241819784,63.72417382,-1.664363976,-1.99572434,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NC State,Florida State,NA,Softball,NA,40cc4d92-d9cb-4feb-8848-f4cf4b640aa2,3c162b82-ce34-11ec-aaf1-f9d476d70f44,69.31071462,1.060174475,1.481758548,5.31647051,-1.99572434,63.79828965,2.273734129,0.241819784,-1.608180527,-1.99572434,0.366032692,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,low,high,NA,NA,37
7,5/7/22,14:34:04,2,4,Aisha Weixlmann,NA,Right,Nc state,Sydney Sherrill,NA,NA,Florida state,NA,1,Top,0,1,2,NA,NA,BallCalled,NA,NA,NA,0,0,NA,70.23831949,8.660830898,-2.037384177,1343.087732,42.77380886,07:30:00,1.25135157,1.243806527,6,-29.16010195,-3.564000778,-3.891407196,4.244893792,-0.346320952,63.96070249,0.567651837,-3.124679914,0.364131652,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.808390228,-7.317263659,-1.66744536,50,-1.021011604,3.104190029,-104.5840321,20.55865082,4.098937624,22.27812456,-40.04955748,NC State,Florida State,NA,Softball,NA,40cc4d92-d9cb-4feb-8848-f4cf4b640aa2,46607870-ce34-11ec-b072-214b8c649cae,70.3295025,1.246262258,1.244627207,8.749298217,-2.052373189,64.0204088,4.248952244,-0.346868054,0.656597521,-3.13638801,0.364073359,-3.795971726,-4.879859401,-51.85507726,83.52680773,829.5617308,-1056.272688,61.76526752,0.453382001,-0.786450998,0.419451532,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.804246678,0,NA,NA,medium,high,14.82587304,82.90096084,37
8,5/7/22,14:34:25,2,5,Aisha Weixlmann,NA,Right,Nc state,Sydney Sherrill,NA,NA,Florida state,NA,1,Top,0,2,2,NA,NA,BallCalled,NA,NA,NA,0,0,NA,70.62763105,5.566501604,0.16563155,1582.06503,68.000727,08:15:00,0.957243256,1.387570477,6,-25.49397431,-0.582950203,-3.639697831,2.300733247,1.187127461,64.81243742,-1.548119975,-0.852629596,0.359225629,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.310064264,-2.664666098,-1.31361353,50,-0.564544456,-0.890941769,-105.8983054,14.41720093,4.765948419,22.50744742,-35.12056277,NC State,Florida State,NA,Softball,NA,40cc4d92-d9cb-4feb-8848-f4cf4b640aa2,52b4946e-ce34-11ec-a724-9ff385862d03,70.71869828,0.953323211,1.388979683,5.635573482,0.13989291,64.87695395,2.303965075,1.18615174,-1.477110302,-0.873607718,0.35916122,-3.476496947,-1.727827022,-71.08488565,6.480012775,512.8532258,-1496.633331,32.41669691,0.12143127,-0.945999882,0.300563921,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.520629649,0,NA,NA,medium,high,84.1679885,6.159801989,37
9,5/7/22,14:35:06,2,6,Aisha Weixlmann,NA,Right,Nc state,Sydney Sherrill,NA,NA,Florida state,NA,1,Top,0,3,2,NA,NA,InPlay,NA,NA,HomeRun,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NC State,Florida State,NA,Softball,NA,40cc4d92-d9cb-4feb-8848-f4cf4b640aa2,e3067edf-6443-4c39-b67e-8735804d69e5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,5/7/22,14:36:53,3,1,Aisha Weixlmann,NA,Right,Nc state,Kalei Harding,NA,NA,Florida state,NA,1,Top,0,0,0,NA,NA,BallCalled,NA,NA,NA,0,0,NA,70.3804816,4.968652508,-3.009679057,1298.3131,40.01986134,07:15:00,1.188506341,0.877662055,6,-27.57745584,-2.433294432,-3.210559101,1.988179705,-1.260755733,64.65200595,-2.725451253,-3.905370139,0.360902674,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.659332551,-4.646955254,-1.529140055,50,-0.218325514,5.035596918,-105.5317241,13.59347853,2.913694987,22.71865815,-37.26548135,NC State,Florida State,NA,Softball,NA,40cc4d92-d9cb-4feb-8848-f4cf4b640aa2,aaffeb00-ce34-11ec-8afb-75a67c8a2139,70.4668554,1.183977462,0.878850051,5.047536258,-3.030995078,64.70948232,1.991775199,-1.261565725,-2.646837467,-3.922742325,0.360842673,-3.075233867,-3.678387033,-61.23214862,81.209357549999993,624.8286227,-1138.071218,48.12618949,0.368560744,-0.876576858,0.309476962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.979114464,0,NA,NA,medium,high,16.9115782,-77.64812111,37
