PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,calledLoc,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance
48,3/15/22,,4,4,Aisha Weixlmann,,Right,Nc state,Kennedi Gaton,,Right,Troy,,2,Top,0,3,2,Curveball,2,BallCalled,Walk,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC State,Troy,,Softball,,807fbc60-3f32-433f-8281-5696acdaad3f,4a7b4f87-f50b-4b99-8c9b-c36ebfa624e2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,3/15/22,,5,2,Maddie Mcpherson,,Left,Nc state,Candela Figueroa,,Right,Troy,,2,Top,0,1,0,Fastball,2,Foul,,,,0,0,,69.53871726,4.161236916,-4.037649227,,,,1.28964745,0.755602346,6,,,,1.830698648,-1.756124036,64.16520786,-2.699363082,-4.037649227,,,,,,,,,,,,,,,,,,,,,,,,NC State,Troy,,Softball,,807fbc60-3f32-433f-8281-5696acdaad3f,34f7a48a-a485-11ec-98ff-e19be163626b,69.63676209,1.286674503,0.755602346,4.213276521,-4.037649227,64.23735732,1.833218384,-1.756124036,-2.644204828,-4.037649227,0.364433457,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,low,high,,,37
50,3/15/22,,5,1,Maddie Mcpherson,,Left,Nc state,Candela Figueroa,,Right,Troy,,2,Top,0,0,0,Riseball,3,BallCalled,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC State,Troy,,Softball,,807fbc60-3f32-433f-8281-5696acdaad3f,a8d8519c-dfa6-4411-b602-8c8ac1736c02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,3/15/22,,5,4,Maddie Mcpherson,,Left,Nc state,Candela Figueroa,,Right,Troy,,2,Top,0,1,2,Dropball,1,InPlay,,,Out,1,0,,69.20279318,3.870260235,1.195373089,,,,1.341594168,-0.102098541,6,,,,1.686325081,0.640391254,63.90914897,-3.03533135,1.195373089,,,,,,,,,,,,,,,,,,,,,,,,NC State,Troy,,Softball,,807fbc60-3f32-433f-8281-5696acdaad3f,4e857ef5-a485-11ec-8858-651012c91f0a,69.29978063,1.338573606,-0.102098541,3.922853371,1.195373089,63.97974096,1.688849194,0.640391254,-2.980177245,1.195373089,0.365208917,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,low,high,,,37
52,3/15/22,,5,3,Maddie Mcpherson,,Left,Nc state,Candela Figueroa,,Right,Troy,,2,Top,0,1,1,Riseball,3,StrikeSwinging,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC State,Troy,,Softball,,807fbc60-3f32-433f-8281-5696acdaad3f,bedd70f6-5234-42f8-a50d-71a732e3ab47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,3/15/22,,6,2,Maddie Mcpherson,,Left,Nc state,Logan Calhoun,,Left,Troy,,2,Top,1,1,0,Fastball,2,StrikeSwinging,,,,0,0,,69.00183427,2.902244269,-3.212282519,,,,1.366961313,0.695332337,6,,,,1.096891499,-1.301736797,63.84867255,-4.040207756,-3.212282519,,,,,,,,,,,,,,,,,,,,,,,,NC State,Troy,,Softball,,807fbc60-3f32-433f-8281-5696acdaad3f,6d7c6926-a485-11ec-85e4-b570ee1eed58,69.09576384,1.363998539,0.695332337,2.954910268,-3.212282519,63.91758031,1.099425158,-1.301736797,-3.984638438,-3.212282519,0.366426286,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,low,high,,,37
54,3/15/22,,6,1,Maddie Mcpherson,,Left,Nc state,Logan Calhoun,,Left,Troy,,2,Top,1,0,0,Dropball,1,BallCalled,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC State,Troy,,Softball,,807fbc60-3f32-433f-8281-5696acdaad3f,a4303de5-4486-49e8-8b01-8066c3a2fb2c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,3/15/22,,6,3,Maddie Mcpherson,,Left,Nc state,Logan Calhoun,,Left,Troy,,2,Top,1,1,1,Changeup,1,BallCalled,,,,0,0,,69.29291418,4.100778285,0.121425294,,,,1.189121155,0.640737185,6,,,,1.682236562,0.71614803,63.9610442,-2.788875365,0.121425294,,,,,,,,,,,,,,,,,,,,,,,,NC State,Troy,,Softball,,807fbc60-3f32-433f-8281-5696acdaad3f,79d804e6-a485-11ec-9f79-01654e80d63a,69.39043375,1.186111414,0.640737185,4.153151052,0.121425294,64.03236167,1.684778196,0.71614803,-2.733676741,0.121425294,0.364755469,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,low,high,,,37
56,3/15/22,,6,4,Maddie Mcpherson,,Left,Nc state,Logan Calhoun,,Left,Troy,,2,Top,1,2,1,Fastball,2,BallCalled,,,,0,0,,59.01719399,6.239295077,3.025374147,1050.466719,345.1283644,5:30,2.159230881,0.473310029,12.17145874,-28.20675666,-3.977951128,1.228811879,3.028718759,2.130183545,54.80821639,-3.20818739,3.437491894,0.354272567,,,,,,,,,,,,-0.970846648,-8.984248955,0.500964861,50,-0.834280488,-4.374176929,-89.51077724,17.98613259,-0.764874608,16.40237313,-39.25222605,NC State,Troy,,Softball,,807fbc60-3f32-433f-8281-5696acdaad3f,854e4697-a485-11ec-87dc-39df57338190,59.05814724,2.155244029,0.472424612,6.324753131,3.044737076,54.82739089,3.031760027,2.130817611,-3.129111541,3.453883278,0.354245771,1.127434558,-5.042667078,38.29413325,1.797550236,824.4481151,650.9728355,78.48398245,0.758550245,0.619698677,-0.201432559,,,,,,,,,,,,,,,,,0.73051041,1,,,medium,high,88.38220479,22.60044481,30.82854126
57,3/15/22,,6,5,Maddie Mcpherson,,Left,Nc state,Logan Calhoun,,Left,Troy,,2,Top,1,3,1,Riseball,4,StrikeSwinging,,,,0,0,,69.20465601,3.021362016,-0.728379791,,,,1.229728561,0.448052479,6,,,,1.049478778,-0.004329483,64.02554666,-3.86999476,-0.728379791,,,,,,,,,,,,,,,,,,,,,,,,NC State,Troy,,Softball,,807fbc60-3f32-433f-8281-5696acdaad3f,92dc3521-a485-11ec-9e5a-95b463d5f36a,69.29991277,1.226696603,0.448052479,3.07413513,-0.728379791,64.09416684,1.051951283,-0.004329483,-3.815387125,-0.728379791,0.364820895,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,low,high,,,37
