PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,calledLoc,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance
11,4/27/22,1:06:27 PM,2,7,Maddie Mcpherson,,Left,Nc state,Lily Potter,,Left,Norfolk state,,1,Top,1,2,2,Riseball,3,StrikeSwinging,Strikeout,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC State,Norfolk State,,Softball,,1122f248-cd46-47c1-b4e4-5eb01824a80e,7e72cb53-eab6-4b09-b8fb-4f64c575c5bf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,4/27/22,1:06:37 PM,3,1,Maddie Mcpherson,,Left,Nc state,Tuli Iosefa,,Right,Norfolk state,,1,Top,2,0,0,Dropball,1,Foul,,,,0,0,,68.74712691,5.083864321,-1.469733612,,,,1.104433103,0.666909073,6,,,,2.173154281,-0.246063841,63.32791533,-1.932605079,-1.469733612,,,,,,,,,,,,,,,,,,,,,,,,NC State,Norfolk State,,Softball,,1122f248-cd46-47c1-b4e4-5eb01824a80e,66f63fcf-c64c-11ec-9768-4be55f2479e3,68.84655515,1.101358612,0.666909073,5.137173887,-1.469733612,63.400154,2.17572265,-0.246063841,-1.876389378,-1.469733612,0.36828597,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,low,high,,,37
13,4/27/22,1:07:25 PM,3,2,Maddie Mcpherson,,Left,Nc state,Tuli Iosefa,,Right,Norfolk state,,1,Top,2,0,1,Riseball,3,BallCalled,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC State,Norfolk State,,Softball,,1122f248-cd46-47c1-b4e4-5eb01824a80e,c7b9e0d7-f70f-4d00-8c2b-2fa58f20bb0e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,4/27/22,1:07:31 PM,3,3,Maddie Mcpherson,,Left,Nc state,Tuli Iosefa,,Right,Norfolk state,,1,Top,2,1,1,Changeup,2,BallCalled,,,,0,0,,59.24223965,6.473280582,0.916253522,,,,1.762421731,0.732540668,6,,,,2.961946777,1.301625062,54.48089673,-3.010283513,0.916253522,,,,,,,,,,,,,,,,,,,,,,,,NC State,Norfolk State,,Softball,,1122f248-cd46-47c1-b4e4-5eb01824a80e,86f32968-c64c-11ec-9d16-eddb785e7c26,59.3321375,1.758374551,0.732540668,6.544248921,0.916253522,54.54169991,2.965440959,1.301625062,-2.933677781,0.916253522,0.428345183,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,low,high,,,37
15,4/27/22,1:07:54 PM,3,4,Maddie Mcpherson,,Left,Nc state,Tuli Iosefa,,Right,Norfolk state,,1,Top,2,2,1,Dropball,1,Foul,,,,0,0,,70.07557834,4.853626295,0.344489282,,,,1.345815501,0.554729833,6,,,,2.35075624,0.768676213,64.57369351,-1.894307018,0.344489282,,,,,,,,,,,,,,,,,,,,,,,,NC State,Norfolk State,,Softball,,1122f248-cd46-47c1-b4e4-5eb01824a80e,94e6fa0f-c64c-11ec-9998-85f80dc3fb26,70.17545199,1.342896769,0.554729833,4.904576672,0.344489282,64.64773607,2.353230587,0.768676213,-1.839983628,0.344489282,0.3610639,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,low,high,,,37
16,4/27/22,1:08:36 PM,3,5,Maddie Mcpherson,,Left,Nc state,Tuli Iosefa,,Right,Norfolk state,,1,Top,2,2,2,Riseball,3,StrikeSwinging,Strikeout,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC State,Norfolk State,,Softball,,1122f248-cd46-47c1-b4e4-5eb01824a80e,58e73e84-00b3-4f4e-b926-5073767b60cd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,4/27/22,1:10:33 PM,1,1,Joana Vallejo,,Right,Norfolk state,Emily Allen,,Right,Nc state,,1,Bottom,0,0,0,,,StrikeCalled,,,,0,0,,64.38405968,6.113604866,-3.573267904,,,,1.149786515,1.890032458,6,,,,2.559803049,-0.332014018,59.19324532,-1.922105937,-3.573267904,,,,,,,,,,,,,,,,,,,,,,,,NC State,Norfolk State,,Softball,,1122f248-cd46-47c1-b4e4-5eb01824a80e,f3803030-c64c-11ec-862f-f5bc8915ce97,64.47979177,1.146373892,1.890032458,6.173905313,-3.573267904,59.26183738,2.56277778,-0.332014018,-1.857010473,-3.573267904,0.394608849,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,low,high,,,37
18,4/27/22,1:10:49 PM,1,2,Joana Vallejo,,Right,Norfolk state,Emily Allen,,Right,Nc state,,1,Bottom,0,0,1,,,BallCalled,,,,0,0,,66.23121683,7.413526267,-3.716912193,,,,0.985591947,2.575122339,6,,,,3.336090494,0.263504018,60.68754405,-0.20410101,-3.716912193,,,,,,,,,,,,,,,,,,,,,,,,NC State,Norfolk State,,Softball,,1122f248-cd46-47c1-b4e4-5eb01824a80e,fcf50ffd-c64c-11ec-92ca-4be31ca0c39a,66.33300998,0.98231075,2.575122339,7.470675922,-3.716912193,60.76142391,3.338887485,0.263504018,-0.142239954,-3.716912193,0.384716519,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,low,high,,,37
19,4/27/22,1:11:04 PM,1,3,Joana Vallejo,,Right,Norfolk state,Emily Allen,,Right,Nc state,,1,Bottom,0,1,1,,,BallCalled,,,,0,0,,64.57016162,8.088551195,-5.201313564,,,,1.235571677,2.501476422,6,,,,3.886827533,-0.73768313,59.05694264,0.039212244,-5.201313564,,,,,,,,,,,,,,,,,,,,,,,,NC State,Norfolk State,,Softball,,1122f248-cd46-47c1-b4e4-5eb01824a80e,0600dee3-c64d-11ec-aea2-d7a6f0a1976f,64.67150851,1.232146652,2.501476422,8.148515155,-5.201313564,59.13075391,3.88987292,-0.73768313,0.10547145,-5.201313564,0.39608779,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,low,high,,,37
20,4/27/22,1:11:20 PM,1,4,Joana Vallejo,,Right,Norfolk state,Emily Allen,,Right,Nc state,,1,Bottom,0,2,1,,,Foul,,,,0,0,,65.50573297,6.13218874,-3.932644747,,,,1.272802662,2.205813714,6,,,,2.775699658,-0.240383501,60.21045226,-1.634180028,-3.932644747,,,,,,,,,,,,,,,,,,,,,,,,NC State,Norfolk State,,Softball,,1122f248-cd46-47c1-b4e4-5eb01824a80e,0f05e675-c64d-11ec-87fd-4db178e32086,65.60289815,1.269493157,2.205813714,6.19042108,-3.932644747,60.28096386,2.778579662,-0.240383501,-1.571099022,-3.932644747,0.388032571,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,low,high,,,37
