PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,calledLoc,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance
11,5/6/22,18:07:20,4,2,Maddie Mcpherson,NA,Left,Nc state,Mack Leonard,NA,NA,Florida state,NA,1,Top,2,1,0,Riseball,4,BallCalled,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NC State,Florida State,NA,Softball,NA,48e02b5b-c86f-4279-813c-93f4a8206e00,947602eb-9840-47eb-a15d-d1fbbc0ce2a1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,5/6/22,18:08:13,4,3,Maddie Mcpherson,NA,Left,Nc state,Mack Leonard,NA,NA,Florida state,NA,1,Top,2,2,0,Riseball,4,InPlay,NA,FlyBall,Out,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NC State,Florida State,NA,Softball,NA,48e02b5b-c86f-4279-813c-93f4a8206e00,5909ccd1-e5a5-4dac-b0f1-958523e79fe0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,5/6/22,18:10:54,1,1,Emma Wilson,NA,NA,Florida state,Kaylee Lambrecht,NA,Right,Nc state,NA,1,Bottom,0,0,0,NA,NA,BallCalled,NA,NA,NA,0,0,NA,61.17360492,4.834964185,-1.902707385,NA,NA,NA,1.151456917,1.935644759,6,NA,NA,NA,1.514097127,0.753540756,56.47906045,-4.02192149,-1.902707385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NC State,Florida State,NA,Softball,NA,48e02b5b-c86f-4279-813c-93f4a8206e00,66a540e6-cd89-11ec-a200-2b0cfa6cf7c3,61.26212356,1.147613115,1.935644759,4.90206401,-1.902707385,56.53931748,1.517335573,0.753540756,-3.951079392,-1.902707385,0.413821094,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,low,high,NA,NA,37
14,5/6/22,18:11:14,1,2,Emma Wilson,NA,NA,Florida state,Kaylee Lambrecht,NA,Right,Nc state,NA,1,Bottom,0,1,0,NA,NA,Foul,NA,NA,NA,0,0,NA,62.08255956,7.127473546,-0.165807859,NA,NA,NA,1.321673866,1.141125388,6,NA,NA,NA,3.180110737,1.038150739,56.95432242,-1.521383769,-0.165807859,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NC State,Florida State,NA,Softball,NA,48e02b5b-c86f-4279-813c-93f4a8206e00,7243e5c5-cd89-11ec-ba30-61b1886e4bfb,62.17795605,1.31797859,1.141125388,7.192155596,-0.165807859,57.02126892,3.183320784,1.038150739,-1.451247261,-0.165807859,0.40926092,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,low,high,NA,NA,37
15,5/6/22,18:11:36,1,3,Emma Wilson,NA,NA,Florida state,Kaylee Lambrecht,NA,Right,Nc state,NA,1,Bottom,0,1,1,NA,NA,Foul,NA,NA,NA,0,0,NA,61.82496941,5.551288415,-1.801219468,NA,NA,NA,1.238755814,1.565882954,6,NA,NA,NA,2.099640217,0.446873562,56.95916254,-3.137432861,-1.801219468,NA,72.02014872,27.0973878,-38.85462705,NA,-68.01014294,86.45588735,32.19200495,206.8094359,NA,-38.50123235,2.774177197,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NC State,Florida State,NA,Softball,NA,48e02b5b-c86f-4279-813c-93f4a8206e00,7ff8eaf3-cd89-11ec-9abe-61d0f4b7cf15,61.91579743,1.235029466,1.565882954,5.616598952,-1.801219468,57.02240581,2.102867659,0.446873562,-3.067300508,-1.801219468,0.409907072,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-40.22217084,49.92873614,32.80548891,-0.635570047,3.057976237,2.236593383,-128.745382,161.8479823,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,40.34785374,low,high,NA,NA,37
16,5/6/22,18:12:08,1,4,Emma Wilson,NA,NA,Florida state,Kaylee Lambrecht,NA,Right,Nc state,NA,1,Bottom,0,1,2,NA,NA,BallCalled,NA,NA,NA,0,0,NA,64.48609619,3.748539952,-0.342374966,1092.090161,2.366250592,06:00:00,1.484535149,1.855204956,6,-33.70610272,-3.930347805,-0.35098072,1.007078966,1.613323316,59.49527068,-5.665823352,-0.440653159,0.39273799,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.285826529,-5.950495929,-1.929387759,50,0.296616837,0.528023552,-96.98570481,11.30287785,0.264455181,19.2105495,-37.67962488,NC State,Florida State,NA,Softball,NA,48e02b5b-c86f-4279-813c-93f4a8206e00,92a004ae-cd89-11ec-9a13-472ef25c2a18,64.55652459,1.479311847,1.85740826,3.840399005,-0.381762458,59.53557636,1.011214006,1.611731234,-5.575330383,-0.475512505,0.39267978,-0.102976154,-5.393252431,-58.24366424,30.59249654,574.7757281,-928.597751,52.63079445,0.525859174,-0.850294036,0.021729742,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.99594342,0,NA,NA,medium,high,62.46675311,3.797942828,37
17,5/6/22,18:12:28,1,5,Emma Wilson,NA,NA,Florida state,Kaylee Lambrecht,NA,Right,Nc state,NA,1,Bottom,0,2,2,NA,NA,Foul,NA,NA,NA,0,0,NA,63.76091188,2.76419611,-0.761016027,NA,NA,NA,2.157711611,1.680609659,13.0263094,NA,NA,NA,1.986891231,1.30128624,59.91083441,-3.649457859,-0.761016027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NC State,Florida State,NA,Softball,NA,48e02b5b-c86f-4279-813c-93f4a8206e00,9efc94ba-cd89-11ec-a52f-35216d01a2a1,63.8182565,2.155848629,1.680609659,2.804833799,-0.761016027,59.95146138,1.988376493,1.30128624,-3.609714582,-0.761016027,0.31536222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,low,high,NA,NA,29.9736906
18,5/6/22,18:12:54,1,6,Emma Wilson,NA,NA,Florida state,Kaylee Lambrecht,NA,Right,Nc state,NA,1,Bottom,0,2,2,NA,NA,Foul,NA,NA,NA,0,0,NA,65.25778395,3.528398445,-0.883901604,NA,NA,NA,1.7720181,1.667863638,6,NA,NA,NA,1.648519448,1.118876244,60.36891552,-4.228383976,-0.883901604,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NC State,Florida State,NA,Softball,NA,48e02b5b-c86f-4279-813c-93f4a8206e00,ae73f5de-cd89-11ec-8c9f-a978740388ce,65.3484002,1.768656264,1.667863638,3.587408289,-0.883901604,60.43290953,1.65132898,1.118876244,-4.166643458,-0.883901604,0.387100804,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,low,high,NA,NA,37
19,5/6/22,18:13:25,1,7,Emma Wilson,NA,NA,Florida state,Kaylee Lambrecht,NA,Right,Nc state,NA,1,Bottom,0,2,2,NA,NA,BallCalled,NA,NA,NA,0,0,NA,65.52956413,3.049809757,-0.893807303,NA,NA,NA,1.677586791,1.834020762,6,NA,NA,NA,1.276913143,1.27887999,60.68132376,-4.635584338,-0.893807303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NC State,Florida State,NA,Softball,NA,48e02b5b-c86f-4279-813c-93f4a8206e00,c08609d9-cd89-11ec-9415-13bed1210ded,65.61856794,1.674341118,1.834020762,3.107835545,-0.893807303,60.74526359,1.279708135,1.27887999,-4.574065015,-0.893807303,0.385317468,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,low,high,NA,NA,37
20,5/6/22,18:13:47,1,8,Emma Wilson,NA,NA,Florida state,Kaylee Lambrecht,NA,Right,Nc state,NA,1,Bottom,0,3,2,NA,NA,Foul,NA,NA,NA,0,0,NA,64.87812836,4.049326382,-0.300713531,NA,NA,NA,1.751929688,1.901994244,6,NA,NA,NA,1.923515341,1.715235496,59.95078247,-3.807380994,-0.300713531,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NC State,Florida State,NA,Softball,NA,48e02b5b-c86f-4279-813c-93f4a8206e00,cd74a121-cd89-11ec-ab53-cbaec3b00e2d,64.96931804,1.748531146,1.901994244,4.108858072,-0.300713531,60.0153677,1.926360916,1.715235496,-3.744606567,-0.300713531,0.389558573,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,low,high,NA,NA,37
