GameID,HalfInning,RunScored,StrikeCalled,BallCalled,Foul,StrikeSwinging,Out,Error,HitByPitch,Sacrifice,FoulTip,FieldersChoice,Single,Double,Triple,HomeRun
89aa0995-30e7-4a84-9a39-8015aaafade0,top1,0.0,2,4,2,0,3,0,0,0,0,0,0,0,0,0
89aa0995-30e7-4a84-9a39-8015aaafade0,bottom2,0.0,1,0,0,3,2,0,0,0,0,0,0,0,0,0
89aa0995-30e7-4a84-9a39-8015aaafade0,top2,0.0,0,3,6,1,2,0,0,0,0,0,1,0,0,0
89aa0995-30e7-4a84-9a39-8015aaafade0,bottom3,0.0,1,2,2,0,3,0,0,0,0,0,0,0,0,0
89aa0995-30e7-4a84-9a39-8015aaafade0,top3,1.0,0,2,1,0,3,0,1,0,0,0,2,0,0,0
89aa0995-30e7-4a84-9a39-8015aaafade0,bottom4,0.0,5,7,1,1,1,0,0,0,1,0,0,0,0,0
89aa0995-30e7-4a84-9a39-8015aaafade0,top4,1.0,3,7,2,2,1,0,0,0,0,0,2,1,0,0
89aa0995-30e7-4a84-9a39-8015aaafade0,bottom5,0.0,2,3,3,0,3,0,0,0,0,0,0,0,0,0
89aa0995-30e7-4a84-9a39-8015aaafade0,top5,0.0,2,3,1,2,2,0,0,0,0,0,1,0,0,0
89aa0995-30e7-4a84-9a39-8015aaafade0,bottom6,0.0,1,5,4,1,1,0,0,1,0,0,1,0,0,0
89aa0995-30e7-4a84-9a39-8015aaafade0,top6,0.0,4,6,1,0,3,0,0,0,0,0,2,0,0,0
89aa0995-30e7-4a84-9a39-8015aaafade0,bottom7,0.0,4,10,2,1,1,0,0,0,0,0,2,0,0,0
89aa0995-30e7-4a84-9a39-8015aaafade0,top7,3.0,5,13,3,3,0,0,1,0,0,0,2,0,0,0
1c705a50-ff0e-4347-9662-8e1cac65d7f9,bottom1,0.0,4,5,2,0,3,0,1,0,0,0,0,0,0,0
1c705a50-ff0e-4347-9662-8e1cac65d7f9,top1,0.0,5,7,4,2,1,0,0,0,0,0,0,1,0,0
1c705a50-ff0e-4347-9662-8e1cac65d7f9,bottom2,0.0,1,8,4,2,3,1,0,0,0,0,0,0,0,0
1c705a50-ff0e-4347-9662-8e1cac65d7f9,top2,1.0,2,8,3,1,3,1,0,0,0,0,2,0,0,0
1c705a50-ff0e-4347-9662-8e1cac65d7f9,bottom3,6.0,8,25,8,6,2,0,1,0,0,0,2,1,0,2
1c705a50-ff0e-4347-9662-8e1cac65d7f9,top3,0.0,0,2,1,0,2,1,0,0,0,0,0,0,0,0
1c705a50-ff0e-4347-9662-8e1cac65d7f9,bottom4,1.0,2,14,6,0,2,0,0,1,0,0,2,0,0,0
1c705a50-ff0e-4347-9662-8e1cac65d7f9,top4,0.0,2,2,1,1,2,0,0,0,0,0,0,0,0,0
1c705a50-ff0e-4347-9662-8e1cac65d7f9,bottom5,0.0,3,5,1,0,3,0,0,0,0,0,0,0,0,0
1c705a50-ff0e-4347-9662-8e1cac65d7f9,top5,0.0,2,2,1,1,2,0,0,0,0,0,0,0,0,0
